datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2012-03-11 14:00:00,1,0,0,1,18.86,22.725,31,19.0012,212,289,501
2012-08-01 09:00:00,3,0,1,2,27.88,31.82,74,6.0032,34,316,350
2012-05-05 17:00:00,2,0,0,2,27.88,31.82,65,19.9995,204,298,502
2012-04-19 21:00:00,2,0,1,1,21.32,25,55,7.0015,27,240,267
2012-12-06 16:00:00,4,0,1,1,13.12,17.425,42,0,39,292,331
2012-11-19 00:00:00,4,0,1,1,14.76,17.425,66,15.0013,5,22,27
2011-08-09 22:00:00,3,0,1,1,31.98,34.85,46,19.9995,28,127,155
2011-05-11 19:00:00,2,0,1,1,22.96,26.515,52,8.9981,60,341,401
2011-01-08 22:00:00,1,0,0,1,4.92,5.305,36,26.0027,1,33,34
2012-01-14 04:00:00,1,0,0,1,5.74,7.575,50,8.9981,0,3,3
2011-11-11 17:00:00,4,1,0,1,13.94,15.15,39,22.0028,24,286,310
2011-04-18 02:00:00,2,0,1,1,17.22,21.21,67,7.0015,14,2,16
2011-11-04 07:00:00,4,0,1,2,16.4,20.455,86,15.0013,10,235,245
2011-04-16 02:00:00,2,0,0,2,14.76,17.425,87,8.9981,5,19,24
2011-10-09 15:00:00,4,0,0,1,27.88,31.82,51,11.0014,198,209,407
2011-08-10 19:00:00,3,0,1,1,32.8,34.85,26,16.9979,79,334,413
2011-10-11 14:00:00,4,0,1,3,24.6,29.545,73,7.0015,54,117,171
2012-05-13 09:00:00,2,0,0,1,24.6,31.06,56,8.9981,79,143,222
2012-04-16 05:00:00,2,1,0,1,22.14,25.76,77,15.0013,4,34,38
2012-03-07 14:00:00,1,0,1,1,21.32,25,36,22.0028,38,137,175
2012-10-07 03:00:00,4,0,0,2,18.04,21.97,62,8.9981,5,17,22
2012-10-06 20:00:00,4,0,0,1,19.68,23.485,55,16.9979,75,172,247
2012-06-13 04:00:00,2,0,1,1,24.6,28.03,83,8.9981,1,9,10
2012-02-05 05:00:00,1,0,0,3,10.66,12.88,81,12.998,0,4,4
2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
2012-09-07 04:00:00,3,0,1,1,25.42,28.03,88,0,1,7,8
2012-03-05 03:00:00,1,0,1,1,9.02,11.365,51,11.0014,0,1,1
2012-08-16 06:00:00,3,0,1,1,24.6,28.79,78,11.0014,3,162,165
2011-07-16 01:00:00,3,0,0,1,24.6,29.545,69,7.0015,24,51,75
2012-05-14 15:00:00,2,0,1,2,25.42,29.545,73,11.0014,40,156,196
2012-08-19 02:00:00,3,0,0,2,25.42,30.305,69,6.0032,16,103,119
2012-04-01 23:00:00,2,0,0,3,18.86,22.725,72,0,10,53,63
2011-06-16 06:00:00,2,0,1,3,23.78,27.275,73,11.0014,8,104,112
2011-03-05 03:00:00,1,0,0,2,12.3,14.395,87,12.998,0,2,2
2012-06-07 05:00:00,2,0,1,1,19.68,23.485,82,6.0032,0,34,34
2011-12-01 07:00:00,4,0,1,1,9.84,10.605,65,23.9994,11,265,276
2012-06-05 02:00:00,2,0,1,3,21.32,25,72,19.9995,0,8,8
2012-09-06 01:00:00,3,0,1,2,28.7,33.335,84,0,2,16,18
2012-06-18 20:00:00,2,0,1,2,25.42,29.545,73,8.9981,45,317,362
