datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2012-02-11 22:00:00,1,0,0,2,5.74,5.305,39,26.0027,0,46,46
2012-08-09 12:00:00,3,0,1,1,34.44,37.88,44,7.0015,85,192,277
2011-11-19 20:00:00,4,0,0,2,14.76,18.18,57,7.0015,48,115,163
2011-11-13 21:00:00,4,0,0,1,19.68,23.485,36,16.9979,19,76,95
2012-04-16 08:00:00,2,1,0,2,22.96,26.515,83,11.0014,48,549,597
2012-02-05 04:00:00,1,0,0,2,9.84,12.12,87,8.9981,0,9,9
2012-01-11 02:00:00,1,0,1,1,8.2,10.605,85,11.0014,0,5,5
2012-05-12 13:00:00,2,0,0,1,26.24,31.06,36,12.998,293,366,659
2012-02-14 03:00:00,1,0,1,2,10.66,15.15,52,0,0,3,3
2011-07-01 05:00:00,3,0,1,1,24.6,30.305,64,8.9981,3,27,30
2011-11-08 12:00:00,4,0,1,1,21.32,25,52,8.9981,28,175,203
2012-08-10 15:00:00,3,0,1,1,32.8,37.12,52,30.0026,100,224,324
2012-05-19 02:00:00,2,0,0,1,20.5,24.24,51,7.0015,13,56,69
2012-09-05 15:00:00,3,0,1,1,31.98,38.635,70,12.998,41,204,245
2011-02-11 02:00:00,1,0,1,1,4.1,6.82,54,6.0032,0,3,3
2011-05-15 13:00:00,2,0,0,1,25.42,29.545,73,19.0012,195,261,456
2011-08-07 16:00:00,3,0,0,3,29.52,34.85,74,19.9995,74,119,193
2012-05-15 10:00:00,2,0,1,1,25.42,29.545,78,7.0015,27,144,171
2012-06-04 14:00:00,2,0,1,1,25.42,31.06,41,32.9975,84,186,270
2012-07-13 11:00:00,3,0,1,2,31.16,34.09,45,8.9981,68,220,288
2011-11-17 22:00:00,4,0,1,1,10.66,12.12,52,16.9979,1,83,84
2011-04-06 07:00:00,2,0,1,1,10.66,13.635,65,7.0015,3,130,133
2011-07-13 03:00:00,3,0,1,1,30.34,34.09,58,12.998,0,4,4
2012-12-04 21:00:00,4,0,1,2,20.5,24.24,63,16.9979,28,252,280
2012-02-05 13:00:00,1,0,0,2,11.48,13.635,61,11.0014,33,241,274
2011-08-02 00:00:00,3,0,1,1,27.06,31.06,74,0,11,18,29
2012-05-02 15:00:00,2,0,1,1,26.24,30.305,65,12.998,52,204,256
2011-03-03 11:00:00,1,0,1,1,8.2,11.365,29,6.0032,10,40,50
2012-02-07 13:00:00,1,0,1,1,18.04,21.97,38,16.9979,15,169,184
2011-08-12 15:00:00,3,0,1,1,32.8,34.85,29,11.0014,59,190,249
2012-09-01 22:00:00,3,0,0,2,27.06,29.545,89,0,21,57,78
2012-08-12 15:00:00,3,0,0,1,31.16,34.09,40,8.9981,235,342,577
2011-02-01 02:00:00,1,0,1,2,6.56,11.365,69,0,0,2,2
2011-02-10 21:00:00,1,0,1,1,5.74,10.605,39,0,2,70,72
2012-06-08 16:00:00,2,0,1,1,31.16,33.335,29,19.9995,111,412,523
2012-02-16 05:00:00,1,0,1,2,12.3,16.665,70,0,0,20,20
2011-05-05 04:00:00,2,0,1,1,13.94,15.91,66,16.9979,4,3,7
2011-05-18 02:00:00,2,0,1,3,21.32,25,94,15.0013,1,5,6
2012-10-06 08:00:00,4,0,0,1,22.96,26.515,83,12.998,22,184,206
