datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-11-14 13:00:00,4,0,1,1,24.6,31.06,49,26.0027,50,153,203
2011-04-13 01:00:00,2,0,1,2,16.4,20.455,100,19.9995,0,1,1
2011-04-13 18:00:00,2,0,1,1,18.04,21.97,62,26.0027,28,293,321
2012-02-15 03:00:00,1,0,1,1,11.48,15.91,75,0,0,3,3
2011-08-03 23:00:00,3,0,1,2,27.88,31.82,89,6.0032,4,52,56
2012-09-14 18:00:00,3,0,1,1,29.52,32.575,45,15.0013,116,692,808
2011-10-08 22:00:00,4,0,0,1,20.5,24.24,77,0,45,104,149
2011-09-10 12:00:00,3,0,0,1,29.52,34.09,62,15.0013,144,260,404
2012-12-04 19:00:00,4,0,1,1,19.68,23.485,67,15.0013,46,414,460
2012-10-17 07:00:00,4,0,1,1,14.76,18.18,81,7.0015,15,449,464
2012-06-14 22:00:00,2,0,1,2,26.24,30.305,65,15.0013,46,196,242
2012-08-15 12:00:00,3,0,1,1,30.34,34.09,55,15.0013,77,230,307
2012-04-04 08:00:00,2,0,1,2,18.04,21.97,72,7.0015,31,653,684
2012-01-05 02:00:00,1,0,1,1,8.2,11.365,51,6.0032,0,4,4
2012-10-07 19:00:00,4,0,0,2,16.4,20.455,82,7.0015,17,97,114
2012-12-16 06:00:00,4,0,0,2,13.94,18.18,87,0,0,6,6
2011-02-03 14:00:00,1,0,1,1,9.02,9.85,37,26.0027,4,43,47
2011-11-03 05:00:00,4,0,1,1,13.12,16.665,81,8.9981,1,27,28
2012-02-07 18:00:00,1,0,1,1,17.22,21.21,38,12.998,10,508,518
2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
2012-10-05 08:00:00,4,0,1,1,23.78,27.275,64,0,36,749,785
2011-11-13 12:00:00,4,0,0,2,21.32,25,29,27.9993,112,242,354
2012-11-01 20:00:00,4,0,1,2,15.58,19.695,54,16.9979,16,280,296
2011-04-11 08:00:00,2,0,1,2,21.32,25,88,19.0012,28,286,314
2012-10-01 19:00:00,4,0,1,2,22.14,25.76,68,7.0015,33,483,516
2011-05-03 16:00:00,2,0,1,1,29.52,33.335,54,31.0009,46,225,271
2012-02-11 01:00:00,1,0,0,3,11.48,14.395,81,8.9981,2,43,45
2012-04-02 10:00:00,2,0,1,1,16.4,20.455,50,35.0008,85,119,204
2012-01-06 23:00:00,1,0,1,1,14.76,18.94,50,0,13,88,101
2012-12-18 11:00:00,4,0,1,1,19.68,23.485,63,15.0013,58,211,269
2011-03-09 06:00:00,1,0,1,2,9.84,12.88,85,7.0015,5,44,49
2012-08-02 01:00:00,3,0,1,1,27.88,31.82,79,7.0015,6,36,42
2012-02-03 07:00:00,1,0,1,1,9.84,11.365,65,15.0013,10,216,226
2012-05-11 01:00:00,2,0,1,1,18.86,22.725,51,8.9981,14,32,46
2011-05-14 10:00:00,2,0,0,2,21.32,25,94,11.0014,34,133,167
2011-11-03 04:00:00,4,0,1,1,13.12,16.665,81,6.0032,1,3,4
2012-12-06 19:00:00,4,0,1,1,10.66,12.88,60,12.998,13,360,373
2011-02-02 20:00:00,1,0,1,1,9.84,9.85,48,36.9974,4,71,75
2012-09-12 17:00:00,3,0,1,1,28.7,31.82,41,19.9995,114,811,925
2011-06-03 18:00:00,2,0,1,1,28.7,31.82,24,19.9995,76,488,564
2012-12-12 02:00:00,4,0,1,1,11.48,13.635,56,11.0014,5,4,9
2011-05-16 13:00:00,2,0,1,1,27.88,31.82,51,0,61,153,214
2012-02-05 03:00:00,1,0,0,3,9.84,12.88,87,6.0032,4,13,17
2011-10-17 12:00:00,4,0,1,1,22.96,26.515,40,6.0032,39,166,205
2012-06-05 23:00:00,2,0,1,1,22.14,25.76,56,6.0032,20,93,113
2012-02-13 10:00:00,1,0,1,1,5.74,7.575,50,8.9981,1,70,71
2011-10-18 08:00:00,4,0,1,1,20.5,24.24,77,6.0032,25,474,499
2011-08-02 14:00:00,3,0,1,1,36.9,38.635,25,19.0012,45,114,159
2011-07-11 10:00:00,3,0,1,1,32.8,37.88,55,23.9994,44,73,117
2012-04-04 15:00:00,2,0,1,2,26.24,31.06,44,19.0012,86,182,268
