datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-10-14 18:00:00,4,0,1,1,22.14,25.76,39,19.0012,62,361,423
2011-09-05 19:00:00,3,1,0,3,27.06,29.545,94,7.0015,52,123,175
2012-06-02 15:00:00,2,0,0,1,26.24,31.06,38,16.9979,297,405,702
2012-08-09 03:00:00,3,0,1,1,27.88,31.82,83,6.0032,1,5,6
2011-05-02 04:00:00,2,0,1,1,18.04,21.97,77,11.0014,9,8,17
2011-04-03 13:00:00,2,0,0,1,18.04,21.97,33,19.9995,219,148,367
2012-08-04 10:00:00,3,0,0,1,33.62,38.635,57,12.998,108,288,396
2011-07-07 09:00:00,3,0,1,1,30.34,34.85,70,11.0014,25,154,179
2011-11-14 08:00:00,4,0,1,2,18.86,22.725,67,12.998,27,425,452
2011-04-17 23:00:00,2,0,0,1,18.04,21.97,67,11.0014,19,37,56
2012-08-06 22:00:00,3,0,1,1,30.34,34.85,70,6.0032,50,157,207
2011-07-18 01:00:00,3,0,1,1,28.7,33.335,74,15.0013,17,8,25
2011-03-16 18:00:00,1,0,1,2,18.04,21.97,54,15.0013,26,211,237
2012-11-15 23:00:00,4,0,1,2,13.12,15.91,61,11.0014,7,118,125
2011-09-06 04:00:00,3,0,1,2,22.14,25.76,94,19.9995,1,3,4
2011-09-02 18:00:00,3,0,1,2,27.88,31.82,65,12.998,50,305,355
2012-01-16 22:00:00,1,1,0,2,12.3,13.635,49,23.9994,4,39,43
2011-11-07 10:00:00,4,0,1,1,14.76,17.425,93,8.9981,28,95,123
2011-12-19 10:00:00,4,0,1,1,9.84,11.365,67,12.998,12,96,108
2012-04-17 03:00:00,2,0,1,1,22.96,26.515,83,6.0032,0,6,6
2012-01-08 13:00:00,1,0,0,1,16.4,20.455,37,19.9995,77,266,343
2011-12-18 10:00:00,4,0,0,1,9.84,11.365,60,16.9979,7,122,129
2012-09-01 01:00:00,3,0,0,1,29.52,34.85,74,8.9981,11,68,79
2011-12-01 17:00:00,4,0,1,1,14.76,17.425,46,8.9981,9,409,418
2011-10-02 15:00:00,4,0,0,3,14.76,16.665,81,16.9979,29,144,173
2011-07-08 18:00:00,3,0,1,1,27.06,30.305,83,6.0032,35,281,316
2012-04-15 17:00:00,2,0,0,1,28.7,31.82,42,22.0028,262,361,623
2012-03-11 21:00:00,1,0,0,1,17.22,21.21,54,15.0013,37,110,147
2012-07-18 14:00:00,3,0,1,1,38.54,43.94,38,22.0028,54,116,170
