datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2012-02-08 14:00:00,1,0,1,2,12.3,15.15,56,11.0014,8,100,108
2011-02-05 02:00:00,1,0,0,2,9.84,12.12,75,11.0014,5,12,17
2011-12-07 13:00:00,4,0,1,3,18.04,21.97,100,12.998,5,28,33
2012-06-14 20:00:00,2,0,1,1,27.06,31.06,65,16.9979,84,351,435
2011-03-14 15:00:00,1,0,1,1,15.58,19.695,37,11.0014,24,77,101
2012-09-03 10:00:00,3,1,0,2,30.34,35.605,74,15.0013,135,224,359
2012-09-07 09:00:00,3,0,1,1,28.7,33.335,79,8.9981,33,311,344
2011-10-10 16:00:00,4,1,0,2,28.7,31.82,45,6.0032,154,248,402
2012-07-01 05:00:00,3,0,0,1,27.88,31.82,79,7.0015,3,7,10
2012-06-13 11:00:00,2,0,1,2,27.06,31.06,54,30.0026,64,182,246
2012-09-17 15:00:00,3,0,1,2,26.24,30.305,65,16.9979,82,256,338
2011-12-15 13:00:00,4,0,1,2,20.5,24.24,55,23.9994,14,150,164
2012-04-16 17:00:00,2,1,0,1,32.8,34.85,33,26.0027,111,601,712
2011-07-12 03:00:00,3,0,1,2,28.7,33.335,79,0,2,6,8
2012-06-04 02:00:00,2,0,1,1,22.96,26.515,60,15.0013,1,10,11
2012-04-15 19:00:00,2,0,0,1,28.7,31.82,42,16.9979,114,265,379
2012-10-19 09:00:00,4,0,1,2,22.14,25.76,94,7.0015,26,363,389
2011-11-18 22:00:00,4,0,1,1,10.66,13.635,52,7.0015,9,88,97
2012-02-07 22:00:00,1,0,1,1,13.12,15.91,57,12.998,11,107,118
2011-08-10 13:00:00,3,0,1,1,33.62,36.365,38,19.0012,41,150,191
2011-07-05 02:00:00,3,0,1,1,27.06,31.06,74,6.0032,8,5,13
2011-03-12 23:00:00,1,0,0,1,15.58,19.695,66,6.0032,11,38,49
2012-12-18 09:00:00,4,0,1,1,16.4,20.455,87,6.0032,19,307,326
2012-01-19 01:00:00,1,0,1,1,5.74,7.575,50,11.0014,0,5,5
2011-01-11 16:00:00,1,0,1,2,6.56,7.575,86,15.0013,4,72,76
2011-11-06 14:00:00,4,0,0,1,18.86,22.725,55,12.998,101,219,320
2011-09-11 16:00:00,3,0,0,1,29.52,33.335,51,19.9995,180,303,483
2012-07-16 22:00:00,3,0,1,1,31.16,35.605,62,6.0032,56,228,284
2012-03-12 21:00:00,1,0,1,2,22.14,25.76,56,15.0013,22,183,205
2011-03-14 23:00:00,1,0,1,1,13.12,17.425,53,0,2,17,19
2012-08-15 19:00:00,3,0,1,1,28.7,32.575,61,8.9981,124,525,649
2012-07-05 20:00:00,3,0,1,2,35.26,39.395,41,15.0013,78,243,321
2011-06-16 11:00:00,2,0,1,2,27.88,31.82,61,19.9995,33,117,150
2012-01-10 10:00:00,1,0,1,2,7.38,9.85,93,11.0014,3,80,83
2011-10-09 21:00:00,4,0,0,1,22.14,25.76,83,7.0015,53,120,173
2012-12-01 02:00:00,4,0,0,2,10.66,15.15,81,0,3,47,50
2012-02-17 21:00:00,1,0,1,1,15.58,19.695,37,12.998,15,114,129
2012-07-12 02:00:00,3,0,1,2,27.06,31.06,65,6.0032,0,9,9
